Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
Date	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21
Start Time	09:37:06	09:39:24	09:41:39	09:43:54	09:46:09	09:48:24	09:50:39	09:52:54	09:55:09	09:57:24	09:59:39	10:01:54	10:04:09	10:06:24	10:08:39	10:10:54	10:13:09	10:15:24	10:17:39	10:19:54	10:22:09	10:24:24	10:26:39	10:28:54	10:31:09	10:33:24	10:35:39	10:37:54	10:40:09	10:42:24	10:44:39	10:46:54	10:49:09	10:51:24	10:53:39	10:55:54	10:58:09	11:00:24	11:02:39	11:04:54	11:07:09	11:09:24	11:11:39	11:13:54	11:16:09	11:18:24	11:20:39	11:22:54	11:25:09	11:27:24	11:29:39	11:31:54	11:34:09	11:36:25	11:38:40	11:40:55	11:43:10	11:45:25	11:47:40	11:49:55	11:52:10	11:54:25	11:56:40	11:58:55	12:01:10	12:03:25	12:05:40	12:07:55	12:10:10	12:12:25	12:14:40
Diameter Midpoint
 26.9	12156	75287.4	63118.2	13431.2	13188.4	11230	11822	82967.3	10869.6	64751.7	13882.7	37949.8	41804	26875.6	26757.5	27752.3	29250	34978.5	36331.6	34629.2	30623.4	39921.5	45576.7	12841.2	21398.5	18198.1	12839.2	20243.5	19664.7	23568.3	19226.4	19896.3	20423.7	17194.3	16689.2	21865.9	26352.4	22137.2	29721.8	19315.5	16920.8	24505.4	22769.5	23490.4	23479.2	22010.5	26372.6	29773.2	25680.4	20566.3	2550.44	6554.21	6207.04	2550.44	6376.09	7740.37	9954.79	9527.63	6799.08	9954.79	10043.9	8848.62	10971.9	11049.8	12414.1	15080.1	16767.1	14383.6	18120.2	20735.3	18235.8
 27.9	13707.9	83468.6	74626.3	14516.7	14098.9	13684.9	6317.73	74536	17662.8	62126	17944.3	39252.5	43448.2	29924.9	31203.9	32122.1	30132.6	37062.9	31652.1	30489.2	39429.4	47127.9	39034.6	11980.7	18876.7	17380	12466	21635.5	18027.1	15483.4	11807.5	16638.7	19269	22790.8	21304.4	15987.9	21007.5	22203.6	19573.5	25018.6	24032.7	25496.2	22655.8	21726	27321.4	20187.3	30406.4	27133	23618.7	30515.9	1640.55	5075.82	6238.73	4925.49	4929.32	6645.04	5899.93	6389.06	4184.21	7954.45	8849.89	9105.87	10411.4	9512.17	15743.2	11871.2	12608.6	11385.9	15412.1	16488.4	17270.5
 28.9	11608.5	67239.5	73636.8	12597.5	14750.3	11735.8	9470.62	90401.5	19375.8	57989.9	8279.28	34606.9	40551	31518.7	24896.5	26474.9	30371.1	29253.5	36849.7	32061.9	30975.5	37648.9	31255.2	14490.6	15654.4	14928.9	23060.8	18890	17714.9	17217.9	20073.8	17543.8	24171	20992.9	22482.6	25443.5	21784.6	20659.5	24241	21913.3	23526.6	25117.6	24648	24974	26211.5	19061.1	26401.3	19852.8	26979.4	30975.5	1998.01	7262.78	7328.99	7988.31	7332.72	5986.56	6607.2	6929.39	8857.45	12776.1	7728.59	8531.53	9656.66	12857.2	16124	9400.68	10932.9	13617.7	15794.3	18447.9	12752.3
 30.0	14395.6	65047.9	67884.4	9963.77	12525.9	11335	6669.75	80925.4	14600.2	61282.6	10533.5	40718.8	40494.4	23617	28721.7	24238.2	27409.5	25406.4	27215.5	34433.8	27105	35979.3	40483.9	10837.9	16815.4	15066.9	12992.6	18574.4	17253.3	19286.6	19469.9	17944.2	16804.8	17568.5	18065.3	19438.1	25945.9	17242.7	18401.8	20894.3	22976.1	24907.9	19174.5	22714.1	21277.4	25997.4	27409.5	20851.8	27359.6	25041.3	1422.73	5856.15	8103.15	6963.75	7584.97	6059.2	7259.17	6557.66	5987.96	8631.99	7198.59	11844.1	8947.13	8824.37	8234.96	10095.6	14935.1	18891.2	14477.5	17333.6	15616.9
 31.1	8517.76	63170	57142.2	10576.3	7772.59	12339.8	4885.17	78135.4	11165.6	53506.1	9966.78	28979.9	40538.4	24408.2	27388.1	23482.4	30472	31226	38116	35416.2	28275	39382.7	26693.1	14362.2	12913.2	17911.1	13402.9	13976.4	17875	18236.2	16479.7	19827.9	23521.3	17678.6	19931.8	16358.2	19863.9	23974.9	25254.7	16163.5	20180.2	21688.2	19058	20967.7	18559.4	20498.2	23505.4	21207.3	25467.1	30893.9	2381.8	5707.01	5149.45	6007.35	5081.61	6709.41	6838.02	5314.12	4643.83	7969.03	7917.09	6957.8	9100.05	12958.1	8759.1	8020.98	9219.83	15818.3	11269.5	17292.8	21509.4
 32.2	11859.9	60970.1	56725.6	10155.4	9437.2	7420.53	10909.5	72831.7	12162.1	51393.2	11903.3	31240.7	29982.6	24145.4	19004.8	25942.4	22636.6	27130.4	29651.1	33870.7	31538	30366.2	31327.6	13304.2	14073.9	17340.7	16737.3	13309.8	15150.2	16044.6	14061.4	15837.3	19786.8	14089.4	16957.1	19490.2	17006.1	16721.8	23421.7	21246.7	17616.3	18281	20489.5	21138.8	19298.4	20906.6	22450.3	22314.4	20341.2	28513.4	1104.23	4092.32	5004.75	3696.29	5784.37	7036.94	6449.12	8524.77	8537.2	6372.18	5521.17	8657.59	9465.15	10452.1	7980.4	8772.45	11970.3	9140.52	11952.3	11661.2	14429.5
 33.4	14704.6	53876.3	48013.1	9530.48	6814.37	7062.19	3603	67271.7	9416.12	41129.5	9387.09	23605.2	33031.6	21112.4	19690.1	19868.3	24190.3	23976.9	27971.1	29512.7	23937.1	34538	32813.2	8603.83	7423.97	13703.3	15809.4	13267	10382.6	13128.5	10878.2	16092.1	13271.9	15521.8	21226.4	10348.1	18153.4	20725.7	20730.7	18976	19239.2	18654.5	17088.3	19655.3	15482.4	17474.6	20616.7	18733.6	24864.2	18803.2	0	2641.53	5496.08	4063.84	3637.81	4812.29	3211.37	4316.64	7453.83	4495.25	6561.57	5847.94	6958.17	7240.81	11096.2	7597.63	8702.49	9629.55	12023.3	10878.2	9668.91
 34.6	9042.31	57180.1	50358.8	7351.6	4132.38	8424.63	4989.87	59747.4	12370.5	40972.5	10355.2	27473.2	32356.5	21221.3	19395	25974	21945.7	21492.8	24523.1	25114.1	21330.4	27047	27872.8	9793.26	14918.9	12181.6	12772.7	13550.1	11108.6	14596.5	9766.53	15078.6	15589.7	11566.4	13547.6	17064.9	11265.9	15909.4	12048.3	13092.3	11915.2	13491.9	19637.3	19077.7	19799.6	19315.1	21487.9	16205	21972.3	18510.9	617.681	1744.05	3139.28	7029.39	5365.28	4345.46	5421.07	6574.04	6518.25	5365.28	9122.25	7378.2	5607.55	7135.93	7780.34	9417.72	8344.69	9255.39	8531.17	13334.6	7700.41
 35.9	8640.51	46881.5	39766.4	7689.38	6590.11	7148.91	4622.94	49424.3	11166.5	42925.9	8087.33	21816.5	23052.6	19433	14742.3	21120.8	19818.2	21702.2	20893.6	18421.2	25790.3	26337.8	27981.8	7807.93	9162.64	11172.1	14160.9	12082.3	11213	8814.09	11766.2	12586.1	16727.8	13816.6	12924.8	17547.7	14462.9	14975.2	14630.9	13602.1	13520.3	20018.7	19145.1	17419.3	19442.9	19383.6	17451.8	14760.7	18896.8	16691.2	416.293	4682.21	2709.42	1848.62	3405.12	3880.69	4219.36	5455.52	3464.39	4421.15	9739.78	6869.51	5098.51	7428.32	7611.76	8040.77	9597.27	11231.4	9519.66	14000.1	8485.28
 37.2	5976.44	41470.4	34854	4814.33	4213.51	5040.1	5040.1	53166.4	8248.92	36504.8	6745.02	21975.1	27487.4	14563.1	15288.1	14672.8	19828.9	23089.5	14846.9	17834	23273.9	19538.9	21859	8296.59	10852.8	9417.3	10090.5	12352.7	8590.7	15172	15114	14710.2	13289	11194.6	12390	10562.7	14519.5	15192.7	12605.4	13572.8	16220.3	11526.1	13394.7	17177.3	11190.6	16172.7	16187.1	15157.6	16829.3	15540.8	1609.58	3656.29	2651.6	2603.93	2709.61	4640.3	2935.38	4992.43	5586.98	3041.06	6718.02	7302.24	4555.29	6376.24	6423.91	6923.12	6697.35	7985.81	8354.6	9964.18	8012.81
 38.5	8015.5	36151.6	37308.9	4834.28	3960.13	4558.35	3225.21	51171.7	7695.57	32891.8	5068.57	21046	22713.2	12573.8	13647.7	14187.6	16958.6	17871.8	16956.2	18792.3	22298.2	17090.6	21002	8293.79	9119.06	8061.85	9119.06	8430.49	11521.4	10000.3	6865.42	9538.93	13411.1	10732.8	9494.94	14050.8	9167.77	12070.7	14050.9	8520.84	13130.4	14600.3	12808.1	8476.85	11885.3	16633.9	14517	18284.6	16035.7	13086.4	1013.21	1335.5	4511.99	2302.35	1889.72	2856.57	2902.93	2993.28	5759.5	4834.28	3039.63	5759.5	4006.49	6084.15	5070.94	6406.43	3869.78	5896.2	8293.79	8428.13	7969.14
 40.0	4506.42	37482.3	27915.6	4687.35	5172.99	5367.41	4948.97	41073.6	5448.1	33963.1	4142.09	17256.9	21169.5	15144	9762.58	11616.9	11886.5	11034	14903.5	17081.5	14636.4	20888.9	15041.3	6711.03	10146.5	8562.31	8883.55	8367.89	9274.46	8186.96	7663.72	7118.46	9099.04	6667.93	9638.8	9406.78	11986.7	11932.6	13700.2	8154.87	10858.6	11306.7	10810	10262.3	9455.39	10264.7	12790.6	11495.6	10799	12868.8	1894.38	4055.89	3108.7	2112.9	2253.21	3734.65	1937.48	3108.7	4190.69	5585.93	4055.89	5089.28	3060.09	6395.3	3237.99	6978.15	4414.72	5726.24	7925.34	6357.7	9728.02
 41.4	4857.8	30775.8	30299.9	2813.92	3263.28	4303.59	5740.2	34070	4970.17	31971.3	7918.53	15684.9	15424.8	9502.85	8948.64	12303.5	9935.88	13732.6	11381.3	13317.3	13178.4	14016.5	18745.6	4658.31	7070.18	6381.53	5719.41	8662.03	6060.86	7939.32	5533.19	7377.58	7009.59	10070.3	8840.72	9476.31	8827.46	8125.54	9455.52	9381.67	8104.75	10472.4	10178.2	8722.62	9247.22	11840.9	8706.28	11438.8	11628.1	13320.3	922.198	1523.73	2813.92	1263.65	1476.41	1878.45	2091.21	3736.11	2459.19	3722.85	3675.53	4476.55	4090.84	3736.11	3675.53	5199.26	5887.91	6581.02	4398.24	4489.81	5861.38
