Start Time	14:16:57	14:19:16	14:21:31	14:23:46	14:26:01	14:28:16	14:30:31	14:32:46	14:35:01	14:37:16	14:39:31	14:41:46	14:44:01	14:46:16	14:48:31	14:50:46	14:53:01	14:55:16	14:57:31	14:59:46	15:02:01	15:04:16	15:06:31	15:08:46	15:11:01	15:13:16	15:15:31	15:17:46	15:20:01	15:22:16	15:24:31	15:26:46	15:29:01	15:31:16	15:33:31	15:35:46	15:38:01	15:40:16	15:42:31	15:44:46	15:47:01	15:49:16	15:51:31	15:53:46	15:56:01	15:58:16	16:00:31	16:02:46	16:05:01	16:07:16	16:09:31	16:11:46	16:14:01	16:16:16
Diameter Midpoint
 15.1	1.24293e+006	1.48843e+006	1.03624e+006	1.51286e+006	1.53834e+006	1.20999e+006	1.37076e+006	1.40599e+006	1.75672e+006	2.04136e+006	1.84572e+006	2.00963e+006	2.1472e+006	1.87563e+006	2.06758e+006	1.74404e+006	2.01152e+006	1.92308e+006	1.72056e+006	2.05868e+006	2.0132e+006	1.86523e+006	2.01173e+006	1.90417e+006	1.82295e+006	2.22878e+006	1.9893e+006	1.99001e+006	2.28701e+006	2.03636e+006	1.89245e+006	2.16319e+006	1.91867e+006	2.10671e+006	1.92294e+006	1.95551e+006	1.93202e+006	1.7127e+006	1.98798e+006	2.04282e+006	2.01478e+006	1.9167e+006	1.94611e+006	1.88491e+006	1.75612e+006	2.03173e+006	1.60731e+006	1.70835e+006	2.03846e+006	1.5899e+006	2.03392e+006	1.88965e+006	1.65822e+006	1.70467e+006
 15.7	1.57356e+006	1.37312e+006	1.43068e+006	1.4139e+006	1.6532e+006	1.20844e+006	1.43188e+006	1.36143e+006	1.83067e+006	2.07414e+006	2.10653e+006	1.91356e+006	1.81474e+006	1.96304e+006	1.82281e+006	2.11678e+006	1.85849e+006	1.89435e+006	2.16694e+006	2.17467e+006	2.22695e+006	2.1479e+006	2.24672e+006	2.17733e+006	2.25e+006	1.97218e+006	2.14208e+006	2.25492e+006	2.325e+006	2.34396e+006	1.99216e+006	2.21403e+006	1.97956e+006	2.12609e+006	2.13176e+006	2.19421e+006	2.18375e+006	1.91966e+006	2.05766e+006	2.16116e+006	2.08237e+006	2.04628e+006	2.23683e+006	1.8418e+006	1.90344e+006	2.05236e+006	1.73103e+006	1.78165e+006	2.01104e+006	1.69538e+006	1.95953e+006	1.94941e+006	1.6102e+006	2.04268e+006
 16.3	1.39319e+006	1.55124e+006	1.61638e+006	1.55768e+006	1.5895e+006	1.39788e+006	1.54643e+006	1.58647e+006	1.83933e+006	2.03651e+006	2.05529e+006	2.24139e+006	2.2097e+006	2.13784e+006	1.97426e+006	2.1481e+006	2.33344e+006	2.21577e+006	1.88705e+006	2.20822e+006	2.33354e+006	2.13488e+006	2.10732e+006	2.11985e+006	2.01573e+006	2.53055e+006	2.35951e+006	2.49194e+006	2.62311e+006	2.01259e+006	2.4191e+006	2.12448e+006	2.10529e+006	2.3441e+006	2.36379e+006	2.36595e+006	2.08954e+006	1.9796e+006	1.95056e+006	2.10085e+006	1.96526e+006	1.98243e+006	2.22285e+006	2.02892e+006	1.92895e+006	2.39789e+006	1.96389e+006	1.89149e+006	2.45533e+006	1.85583e+006	2.01014e+006	2.23261e+006	1.90981e+006	2.04724e+006
 16.8	1.49151e+006	1.51485e+006	1.7005e+006	1.61544e+006	1.63025e+006	1.44098e+006	1.64153e+006	1.52921e+006	2.12646e+006	2.24934e+006	2.10665e+006	1.97963e+006	2.26517e+006	2.29352e+006	2.11512e+006	2.20395e+006	2.22329e+006	2.37306e+006	2.16257e+006	2.2719e+006	2.42674e+006	2.15148e+006	2.3138e+006	2.3898e+006	2.2719e+006	2.31334e+006	2.58626e+006	2.22852e+006	2.24688e+006	2.37193e+006	2.1617e+006	2.55261e+006	2.10095e+006	2.385e+006	2.24927e+006	2.24342e+006	2.44241e+006	2.33601e+006	2.16815e+006	2.54301e+006	2.17952e+006	2.23598e+006	2.13158e+006	2.10366e+006	2.07007e+006	2.32601e+006	2.00642e+006	2.04218e+006	2.22653e+006	1.7978e+006	2.07711e+006	2.48678e+006	1.99256e+006	1.96891e+006
 17.5	1.41537e+006	1.75778e+006	1.87657e+006	1.71682e+006	1.86006e+006	1.54051e+006	1.73382e+006	1.78212e+006	2.22919e+006	2.40936e+006	2.51343e+006	2.20106e+006	2.61976e+006	2.19176e+006	2.21647e+006	2.06745e+006	2.40832e+006	2.56043e+006	2.46662e+006	2.54572e+006	2.59703e+006	2.55465e+006	2.49341e+006	2.31239e+006	2.4986e+006	2.51773e+006	2.49654e+006	2.36165e+006	2.41487e+006	2.17532e+006	2.29365e+006	2.62257e+006	2.42496e+006	2.39946e+006	2.46303e+006	2.52249e+006	2.62316e+006	2.41321e+006	2.3436e+006	2.47543e+006	2.09294e+006	2.43567e+006	2.13474e+006	2.30412e+006	2.15426e+006	2.30984e+006	2.14624e+006	2.11991e+006	2.28139e+006	2.12742e+006	2.21371e+006	2.22777e+006	2.21352e+006	2.30739e+006
 18.1	1.54814e+006	1.6494e+006	1.76525e+006	1.71647e+006	2.09092e+006	1.61065e+006	1.66903e+006	1.62641e+006	2.35828e+006	2.41775e+006	2.50986e+006	2.38922e+006	2.56221e+006	2.25306e+006	2.27512e+006	2.45248e+006	2.45989e+006	2.6215e+006	2.67929e+006	2.81743e+006	2.55771e+006	2.33851e+006	2.73665e+006	2.69935e+006	2.38402e+006	2.70642e+006	2.54376e+006	2.58449e+006	2.63971e+006	2.32391e+006	2.56891e+006	2.6096e+006	2.55433e+006	2.85005e+006	2.86458e+006	2.40573e+006	2.36617e+006	2.42645e+006	2.28271e+006	2.78381e+006	2.36266e+006	2.40381e+006	2.40083e+006	2.43935e+006	2.41618e+006	2.61829e+006	2.20193e+006	2.14264e+006	2.44145e+006	2.01558e+006	2.36447e+006	2.49964e+006	2.32857e+006	2.25562e+006
 18.8	1.69995e+006	1.63179e+006	1.97472e+006	1.87712e+006	2.14958e+006	1.77091e+006	1.83464e+006	1.75988e+006	2.6191e+006	2.67237e+006	2.57749e+006	2.57611e+006	2.46846e+006	2.60759e+006	2.51136e+006	2.35942e+006	2.75347e+006	2.56656e+006	2.70934e+006	2.59673e+006	3.06656e+006	2.58366e+006	2.61397e+006	2.9981e+006	2.65511e+006	2.53959e+006	2.6441e+006	2.83749e+006	2.77574e+006	2.44038e+006	2.75608e+006	2.73147e+006	2.6133e+006	2.71377e+006	2.6718e+006	2.70184e+006	2.86077e+006	2.61813e+006	2.83925e+006	2.81874e+006	2.47285e+006	2.56123e+006	2.72896e+006	2.70215e+006	2.33617e+006	2.82795e+006	2.41775e+006	2.42558e+006	2.60275e+006	2.21672e+006	2.63929e+006	2.64184e+006	2.40954e+006	2.55246e+006
 19.5	1.70604e+006	1.76166e+006	1.88589e+006	2.11588e+006	1.9954e+006	1.72912e+006	1.92804e+006	1.8959e+006	2.45895e+006	2.41876e+006	2.80957e+006	2.70191e+006	2.84007e+006	2.51314e+006	2.64236e+006	2.56191e+006	2.90943e+006	2.91773e+006	3.11949e+006	2.74738e+006	3.0218e+006	2.73987e+006	2.69213e+006	2.88776e+006	2.91392e+006	2.97202e+006	2.90868e+006	2.8286e+006	3.02826e+006	2.89919e+006	2.50475e+006	2.75581e+006	2.91254e+006	2.94875e+006	2.91244e+006	2.9207e+006	2.80436e+006	2.8871e+006	2.8907e+006	2.9564e+006	2.63918e+006	2.55525e+006	2.72661e+006	2.69934e+006	2.36945e+006	2.95104e+006	2.46758e+006	2.56998e+006	2.72991e+006	2.2409e+006	2.68119e+006	2.77968e+006	2.4911e+006	2.71137e+006
 20.2	1.82198e+006	1.83698e+006	1.85961e+006	2.03115e+006	1.94997e+006	1.94207e+006	2.04939e+006	1.96684e+006	2.66568e+006	2.80962e+006	2.68135e+006	2.80671e+006	2.98841e+006	2.64722e+006	2.92347e+006	2.87167e+006	3.10777e+006	3.06537e+006	2.94556e+006	2.87552e+006	3.14655e+006	2.95747e+006	2.97223e+006	3.17453e+006	2.8305e+006	3.14053e+006	2.80806e+006	3.02008e+006	3.0497e+006	2.75436e+006	3.04222e+006	3.26905e+006	2.81335e+006	2.93003e+006	2.71156e+006	2.68374e+006	3.07161e+006	2.9871e+006	2.82818e+006	3.16447e+006	2.81096e+006	2.72697e+006	2.96367e+006	2.85247e+006	2.69536e+006	3.01423e+006	2.69914e+006	2.53716e+006	2.91153e+006	2.45954e+006	2.93314e+006	2.70981e+006	2.61249e+006	2.85964e+006
 20.9	1.90822e+006	1.84821e+006	1.96753e+006	1.98742e+006	2.19712e+006	1.8706e+006	2.04756e+006	1.89338e+006	2.70995e+006	2.97939e+006	2.84073e+006	2.83375e+006	2.86572e+006	2.63323e+006	2.83264e+006	2.95896e+006	3.12724e+006	3.24443e+006	3.10015e+006	3.0198e+006	3.05496e+006	2.82672e+006	2.88098e+006	3.1428e+006	3.02492e+006	3.11385e+006	3.08838e+006	2.96812e+006	3.12792e+006	2.95042e+006	3.05205e+006	3.27002e+006	2.98115e+006	3.13899e+006	3.03252e+006	2.75702e+006	2.8237e+006	2.936e+006	3.08607e+006	3.17355e+006	2.87471e+006	2.67478e+006	3.11644e+006	3.05289e+006	2.78981e+006	3.08074e+006	2.84729e+006	2.60806e+006	3.06816e+006	2.49023e+006	2.77651e+006	3.01225e+006	2.76724e+006	2.97991e+006
