Sample File	C:\TSI\Aerosol Instrument Manager\Sodium Chloride_low flow.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.8203e-005
Reference Mean Free Path (m)	6.65e-008
Reference Gas Temperature (K)	293.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	1
Date	08/11/05
Start Time	15:04:41
Diameter Midpoint
17.9	18.140174	0	
18.0	18.192698	0	
18.1	18.245030	0	
18.2	18.297868	0	
18.3	18.350682	0	
18.4	18.403483	0	
18.5	18.456787	0	
18.6	18.509899	0	
18.7	18.563522	0	
18.8	18.616946	0	
18.9	18.670712	0	
19.0	18.724808	0	
19.1	18.778713	0	
19.2	18.833133	0	
19.3	18.887354	0	
19.4	18.942101	0	
19.5	18.996823	0	
19.6	19.051531	0	
19.7	19.106763	0	
19.8	19.161793	0	
19.9	19.217355	0	
20.0	19.272893	0	
20.1	19.328418	0	
20.2	19.384473	0	
20.3	19.440325	0	
20.4	19.496717	0	
20.5	19.553084	0	
20.6	19.609437	0	
20.7	19.666330	0	
20.8	19.723015	0	
20.9	19.780061	0	
21.0	19.837459	0	
21.1	19.894654	0	
21.2	19.952398	0	
21.3	20.009928	0	
21.4	20.067828	0	
21.5	20.126085	0	
21.6	20.184134	0	
21.7	20.242743	0	
21.8	20.301327	0	
21.9	20.359898	0	
22.0	20.419029	0	
22.1	20.477944	0	
22.2	20.537236	0	
22.3	20.596894	0	
22.4	20.656340	0	
22.5	20.716359	0	
22.6	20.776353	0	
22.7	20.836334	0	
22.8	20.896889	1	
22.9	20.957421	0	
23.0	21.017942	0	
23.1	21.079038	0	
23.2	21.139915	0	
23.3	21.201180	0	
23.4	21.262822	0	
23.5	21.324247	0	
23.6	21.386264	0	
23.7	21.448255	0	
23.8	21.510235	0	
23.9	21.572806	0	
24.0	21.635355	0	
24.1	21.697893	0	
24.2	21.761026	0	
24.3	21.823931	1	
24.4	21.887238	0	
24.5	21.950937	0	
24.6	22.014409	0	
24.7	22.078286	0	
24.8	22.142557	0	
24.9	22.206602	0	
25.0	22.271054	0	
25.1	22.335902	0	
25.2	22.400524	0	
25.3	22.465557	0	
25.4	22.530988	0	
25.5	22.596193	0	
25.6	22.661812	0	
25.7	22.727833	0	
25.8	22.793626	0	
25.9	22.859836	0	
26.0	22.926452	0	
26.1	22.992839	0	
26.2	23.059646	0	
26.3	23.126863	0	
26.4	23.193850	0	
26.5	23.261260	0	
26.6	23.329083	0	
26.7	23.396675	0	
26.8	23.464694	0	
26.9	23.533130	0	
27.0	23.601332	0	
27.1	23.669966	0	
27.2	23.739022	0	
27.3	23.807839	0	
27.4	23.877094	0	
27.5	23.946775	0	
27.6	24.016214	0	
27.7	24.086095	1	
27.8	24.156408	0	
27.9	24.226702	0	
28.0	24.296989	0	
28.1	24.367939	1	
28.2	24.438870	0	
28.3	24.509792	1	
28.4	24.581387	1	
28.5	24.652961	0	
28.6	24.724524	0	
28.7	24.796538	2	
28.8	24.868993	1	
28.9	24.941203	0	
29.0	25.013871	0	
29.1	25.086985	0	
29.2	25.159849	0	
29.3	25.233176	2	
29.4	25.306957	0	
29.5	25.380719	1	
29.6	25.454473	0	
29.7	25.528927	0	
29.8	25.603359	0	
29.9	25.677781	0	
30.0	25.752672	0	
30.1	25.828024	0	
30.2	25.903119	1	
30.3	25.978693	0	
30.4	26.054734	1	
30.5	26.130755	1	
30.6	26.206770	0	
30.7	26.283262	1	
30.8	26.360222	1	
30.9	26.436924	0	
31.0	26.514114	1	
31.1	26.591779	2	
31.2	26.669427	1	
31.3	26.747070	2	
31.4	26.825199	1	
31.5	26.903805	3	
31.6	26.982151	0	
31.7	27.060993	3	
31.8	27.140322	3	
31.9	27.219634	1	
32.0	27.298941	2	
32.1	27.378745	0	
32.2	27.459037	2	
32.3	27.539062	0	
32.4	27.619596	0	
32.5	27.700629	0	
32.6	27.781643	2	
32.7	27.862650	3	
32.8	27.944168	2	
32.9	28.026187	2	
33.0	28.108191	3	
33.1	28.190193	4	
33.2	28.272708	1	
33.3	28.355726	5	
33.4	28.438472	1	
33.5	28.521743	3	
33.6	28.605531	1	
33.7	28.689300	9	
33.8	28.773063	0	
33.9	28.857354	4	
34.0	28.942165	3	
34.1	29.026961	8	
34.2	29.111754	5	
34.3	29.197079	12	
34.4	29.282928	2	
34.5	29.368765	2	
34.6	29.454600	1	
34.7	29.540973	7	
34.8	29.627874	6	
34.9	29.714765	3	
35.0	29.801657	5	
35.1	29.889091	3	
35.2	29.977059	10	
35.3	30.065018	4	
35.4	30.152980	4	
35.5	30.241490	3	
35.6	30.330539	5	
35.7	30.419582	12	
35.8	30.508627	7	
35.9	30.598227	4	
36.0	30.688373	13	
36.1	30.778512	6	
36.2	30.868655	14	
36.3	30.959360	9	
36.4	31.050617	11	
36.5	31.141868	6	
36.6	31.233124	13	
36.7	31.324948	8	
36.8	31.417332	14	
36.9	31.509710	17	
37.0	31.602092	8	
37.1	31.695051	15	
37.2	31.788578	14	
37.3	31.882098	15	
37.4	31.975621	12	
37.5	32.069729	10	
37.6	32.164415	13	
37.7	32.259093	22	
37.8	32.353771	12	
37.9	32.449045	14	
38.0	32.544907	13	
38.1	32.640758	16	
38.2	32.736606	17	
38.3	32.833061	12	
38.4	32.929814	17	
38.5	33.027155	18	
38.6	33.124494	19	
38.7	33.221841	24	
38.8	33.319795	15	
38.9	33.418349	24	
39.0	33.516898	21	
39.1	33.615450	24	
39.2	33.714622	14	
39.3	33.814406	21	
39.4	33.914180	18	
39.5	34.014264	27	
39.6	34.114360	26	
39.7	34.215076	27	
39.8	34.316408	28	
39.9	34.417739	20	
40.0	34.519075	30	
40.1	34.621048	34	
40.2	34.723649	30	
40.3	34.826243	32	
40.4	34.929156	32	
40.5	35.032082	38	
40.6	35.135648	39	
40.7	35.239847	23	
40.8	35.344046	28	
40.9	35.448250	39	
41.0	35.553110	35	
41.1	35.658297	37	
41.2	35.764122	44	
41.3	35.869952	26	
41.4	35.975794	42	
41.5	36.082297	49	
41.6	36.189457	31	
41.7	36.296613	29	
41.8	36.404103	43	
41.9	36.511610	30	
42.0	36.619785	48	
42.1	36.728624	41	
42.2	36.837462	57	
42.3	36.946641	38	
42.4	37.055840	52	
42.5	37.165716	47	
42.6	37.276264	54	
42.7	37.386815	69	
42.8	37.497375	66	
42.9	37.608633	57	
43.0	37.720239	49	
43.1	37.832527	58	
43.2	37.944820	57	
43.3	38.057124	58	
43.4	38.170136	73	
43.5	38.283502	66	
43.6	38.397562	67	
43.7	38.511627	67	
43.8	38.626052	71	
43.9	38.740502	74	
44.0	38.855660	73	
44.1	38.971523	100	
44.2	39.087392	85	
44.3	39.203626	82	
44.4	39.319887	77	
44.5	39.436868	95	
44.6	39.554567	100	
44.7	39.672272	88	
44.8	39.790348	98	
44.9	39.908449	103	
45.0	40.027285	105	
45.1	40.146496	108	
45.2	40.266427	116	
45.3	40.386377	98	
45.4	40.506350	122	
45.5	40.627074	144	
45.6	40.748180	111	
45.7	40.870022	111	
45.8	40.991880	137	
45.9	41.114124	103	
46.0	41.236402	119	
46.1	41.359436	134	
46.2	41.483225	120	
46.3	41.607024	127	
46.4	41.731217	154	
46.5	41.855438	143	
46.6	41.980434	170	
46.7	42.105827	161	
46.8	42.231982	162	
46.9	42.358157	166	
47.0	42.484734	165	
47.1	42.611349	179	
47.2	42.738747	161	
47.3	42.866929	142	
47.4	42.995123	187	
47.5	43.123725	191	
47.6	43.252358	180	
47.7	43.381797	214	
47.8	43.511648	205	
47.9	43.642293	204	
48.0	43.772958	229	
48.1	43.904040	212	
48.2	44.035159	187	
48.3	44.167096	250	
48.4	44.299453	219	
48.5	44.432617	202	
48.6	44.565806	204	
48.7	44.699422	280	
48.8	44.833080	233	
48.9	44.967568	246	
49.0	45.102486	274	
49.1	45.238225	255	
49.2	45.373994	248	
49.3	45.510198	258	
49.4	45.646448	292	
49.5	45.783544	263	
49.6	45.921080	269	
49.7	46.059453	286	
49.8	46.197857	266	
49.9	46.336707	308	
50.0	46.475604	315	
50.1	46.615365	309	
50.2	46.755576	349	
50.3	46.896642	339	
50.4	47.037740	340	
50.5	47.179293	350	
50.6	47.320894	362	
50.7	47.463379	343	
50.8	47.606323	379	
50.9	47.750144	372	
51.0	47.893996	355	
51.1	48.038313	405	
51.2	48.183097	351	
51.3	48.327944	407	
51.4	48.473682	408	
51.5	48.619893	434	
51.6	48.766988	396	
51.7	48.914130	463	
51.8	49.061749	428	
51.9	49.209427	443	
52.0	49.358022	482	
52.1	49.507099	457	
52.2	49.657089	465	
52.3	49.807118	528	
52.4	49.957636	466	
52.5	50.108643	468	
52.6	50.259721	505	
52.7	50.411730	488	
52.8	50.564234	553	
52.9	50.717664	562	
53.0	50.871145	610	
53.1	51.025126	573	
53.2	51.179170	545	
53.3	51.334176	569	
53.4	51.489688	554	
53.5	51.645708	588	
53.6	51.802672	603	
53.7	51.959695	631	
53.8	52.117232	629	
53.9	52.274839	656	
54.0	52.433428	706	
54.1	52.592536	672	
54.2	52.752165	685	
54.3	52.912759	710	
54.4	53.073418	680	
54.5	53.234605	743	
54.6	53.395867	735	
54.7	53.558134	781	
54.8	53.720934	822	
54.9	53.884269	804	
55.0	54.048592	820	
55.1	54.212984	853	
55.2	54.377919	865	
55.3	54.543397	872	
55.4	54.708973	875	
55.5	54.875563	893	
55.6	55.042703	898	
55.7	55.210859	899	
55.8	55.379085	937	
55.9	55.547867	911	
56.0	55.717208	934	
56.1	55.886645	996	
56.2	56.057128	969	
56.3	56.228175	991	
56.4	56.399788	1096	
56.5	56.572434	1019	
56.6	56.745167	1004	
56.7	56.918475	1107	
56.8	57.092358	1174	
56.9	57.266355	1070	
57.0	57.441416	1107	
57.1	57.617058	1100	
57.2	57.793769	1267	
57.3	57.970562	1268	
57.4	58.147944	1219	
57.5	58.325917	1260	
57.6	58.503997	1321	
57.7	58.683180	1304	
57.8	58.862961	1259	
57.9	59.043342	1330	
58.0	59.224816	1355	
58.1	59.406384	1374	
58.2	59.588560	1366	
58.3	59.771346	1373	
58.4	59.954248	1440	
58.5	60.138282	1428	
58.6	60.322932	1442	
58.7	60.508200	1511	
58.8	60.694592	1484	
58.9	60.881086	1549	
59.0	61.068206	1524	
59.1	61.255956	1548	
59.2	61.443829	1586	
59.3	61.632866	1678	
59.4	61.822540	1632	
59.5	62.012851	1634	
59.6	62.204321	1684	
59.7	62.395897	1728	
59.8	62.588119	1784	
59.9	62.780991	1770	
60.0	62.974515	1807	
60.1	63.168189	1847	
60.2	63.363045	1899	
60.3	63.558561	1861	
60.4	63.754739	2013	
60.5	63.952097	1880	
60.6	64.149584	1997	
60.7	64.347742	2050	
60.8	64.546573	2094	
60.9	64.745551	2122	
61.0	64.945758	2112	
61.1	65.146646	2142	
61.2	65.348216	2205	
61.3	65.550472	2228	
61.4	65.753938	2233	
61.5	65.957552	2168	
61.6	66.161862	2256	
61.7	66.366869	2259	
61.8	66.572040	2398	
61.9	66.778473	2364	
62.0	66.985611	2358	
62.1	67.193458	2478	
62.2	67.402015	2492	
62.3	67.611817	2529	
62.4	67.821784	2614	
62.5	68.032470	2573	
62.6	68.243880	2665	
62.7	68.455466	2572	
62.8	68.668355	2706	
62.9	68.881974	2679	
63.0	69.096328	2778	
63.1	69.311420	2789	
63.2	69.527800	2834	
63.3	69.744352	2872	
63.4	69.961652	2940	
63.5	70.179702	2903	
63.6	70.398505	3075	
63.7	70.617517	3019	
63.8	70.837859	3089	
63.9	71.058963	3235	
64.0	71.280832	3138	
64.1	71.504042	3202	
64.2	71.727426	3227	
64.3	71.951586	3305	
64.4	72.176524	3261	
64.5	72.402243	3410	
64.6	72.628172	3340	
64.7	72.855489	3504	
64.8	73.083596	3519	
64.9	73.312497	3547	
65.0	73.542195	3600	
65.1	73.773275	3620	
65.2	74.004553	3751	
65.3	74.236639	3773	
65.4	74.469536	3776	
65.5	74.703248	3878	
65.6	74.937189	3899	
65.7	75.172565	3900	
65.8	75.408765	4015	
65.9	75.645792	3973	
66.0	75.883651	4065	
66.1	76.122943	4204	
66.2	76.362448	4218	
66.3	76.602796	4201	
66.4	76.843990	4245	
66.5	77.086033	4263	
66.6	77.328930	4346	
66.7	77.572096	4353	
66.8	77.816734	4415	
66.9	78.062234	4483	
67.0	78.308601	4470	
67.1	78.555839	4498	
