Start Time	09:34:40	09:36:58	09:39:13	09:41:28	09:43:43	09:45:58	09:48:13	09:50:28	09:52:43	09:54:59	09:57:14	09:59:29	10:01:44	10:03:59	10:06:14	10:08:29	10:10:44	10:12:59	10:15:14	10:17:29	10:19:44	10:21:59	10:24:14	10:26:29	10:28:44	10:30:59	10:33:14	10:35:29	10:37:44	10:39:59	10:42:14	10:44:29	10:46:44	10:48:59	10:51:14	10:53:29	10:55:44	10:57:59	11:00:14	11:02:29	11:04:44	11:06:59	11:09:14	11:11:29	11:13:44	11:15:59	11:18:14	11:20:29	11:22:44	11:24:59	11:27:14	11:29:29	11:31:44	11:33:59	11:36:14	11:38:29	11:40:44	11:42:59	11:45:14	11:47:29	11:49:44	11:51:59	11:54:14	11:56:29	11:58:44	12:00:59	12:03:14	12:05:29	12:07:44	12:09:59	12:12:14	12:14:29	12:16:44	12:18:59	12:21:14	12:23:29	12:25:44	12:27:59	12:30:14
Diameter Midpoint
 33.4	0	0	1596	0	0	81535.7	148989	117092	74835	50251.8	76194.5	38946.1	204306	96557.7	57041	39997.5	30559.8	11358.4	16561	5336.49	3154.93	7625.26	2939.01	570.352	0	0	0	0	0	868.679	999.969	0	0	0	0	1344.98	0	0	1157.26	0	0	0	3201.04	0	0	0	0	0	0	0	0	0	0	0	1477.3	0	0	258.584	1565.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 34.6	0	1490.36	0	0	0	95243	161185	118362	70797.4	50318	91774.5	50164.6	174684	109413	38049.7	63477.6	28779	25767.4	8410.97	8368.66	10041.1	4448.75	3874.29	0	2448.78	0	2213.6	0	2108.85	0	373.388	1119.49	0	0	4437.79	0	0	0	0	0	0	0	0	0	1425.69	0	0	0	0	0	0	0	0	0	1358.72	0	0	1158.12	0	0	0	0	0	0	0	1369.43	0	0	0	0	0	0	1464.7	1516.8	0	0	0	0	0
 35.9	0	1454.79	0	0	0	97295.5	188018	107879	72481.9	43332.3	88787.9	50477.5	165660	123150	72927.2	56054.6	37732.5	31670.9	13203.3	17390	10062.7	7419.45	7657.45	2767.75	383.489	2086.65	0	1578.85	0	0	0	881.428	0	0	0	0	1265.98	1160.43	0	1352.05	0	0	1254.39	1419.05	0	0	0	0	0	1385.42	0	0	0	0	1401.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454.79	0	0	0	0	1436.87	0	0	0
 37.2	1375.5	0	1392.6	0	0	71423.9	199313	165769	78838	36699.8	67148.9	40890.1	187908	119279	70450.5	61754.3	42883	36380.2	17679.4	12849.4	13249.7	5525.31	5478.59	556.008	1420.04	546.252	682.298	446.999	918.911	2495.46	0	2041.6	1622.32	0	0	0	0	0	0	1084.63	1039.77	0	0	0	0	1251.09	0	0	1066.53	0	0	0	0	0	0	0	0	0	1229.3	1362.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 38.5	0	0	0	0	1269.49	80361.9	235994	172475	98098.9	51800.3	79922.7	57603.6	181053	177036	79574.3	67972.2	60137.6	42283.6	16133.2	23353.8	14371.1	7904.25	3815.91	4346.89	2136.23	0	0	0	0	5224.95	0	1481.44	1235.73	0	0	0	0	1146.29	674.701	0	1799.07	0	0	1090.47	0	0	0	0	0	0	1089.48	0	0	0	0	0	0	0	1044.33	0	0	0	1168.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 40.0	0	0	0	0	0	73645.2	235672	151162	133145	50403.6	100478	46406.6	194964	149925	85504.1	107197	71225	64366.9	22528.6	28596.6	7284.04	13212.9	10301	9299.68	273.96	6733.59	0	3049.27	0	947.149	1818.39	0	3442.5	313.544	63.825	0	308.728	0	0	0	0	0	0	0	0	431.477	484.787	0	0	313.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834.935
 41.4	1194.59	0	0	0	1216	99187.8	243367	200028	118904	61830.3	82113	54130.1	184622	170314	133786	120025	95480.8	60515.1	33209.3	27489.5	24924.4	18333.8	10866.8	8064.84	10484.3	2732.34	4480.69	0	0	3002.46	620.24	0	1769.23	0	0	3185.61	716.423	1798.46	0	0	0	0	1314.78	0	0	0	81.7414	380.409	271.278	0	172.937	0	0	749.166	0	0	0	640.593	0	0	0	0	1183.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 42.9	1095.72	0	0	975.252	0	120395	251776	215556	152245	62636	99552.5	60349.5	186805	178396	132996	117097	87046.6	44642	46931.4	43384	41328.3	19596.3	14125.9	12240.5	6970.7	3893.65	5014.61	3421.2	2918.81	0	0	0	865.527	532.512	4459.16	0	1677.39	0	0	0	0	1282.48	2081.14	3374.81	0	0	2264.91	0	0	0	0	0	0	681.89	101.437	0	0	711.409	0	843.829	0	0	0	0	0	0	0	588.026	1162.58	856.24	371.583	328.841	0	0	729.113	861.645	0	0	0
 44.5	1035.62	0	0	66.9106	0	113284	312084	219796	140003	65078	107618	63430.6	213332	156305	124153	146364	87350.3	70860.7	46385.4	41974.4	28370.1	28090.5	7762.28	12894.9	7894.61	6740.4	6195.99	0	0	0	1172.84	6110.67	4566.94	0	665.577	0	1736.66	5.31832	0	1510.11	880.631	109.765	1480.73	0	2846.79	0	0	2492.72	2747.12	0	0	0	0	308.149	0	0	0	1562.02	0	0	0	402.948	131.275	0	0	388.294	0	0	1076.58	0	0	452.832	0	0	0	0	0	0	977.093
 46.1	2098.93	0	1028.91	0	0	110595	323465	238928	166349	80792.8	118646	91624.2	150569	178495	138058	151109	138079	76618	72427.9	54973.4	39906.6	23281.1	24944.3	17073.4	10526.9	13802.7	2061.74	7935.88	4560.42	5628.34	173.907	1711.81	5425.54	4936.22	0	0	112.493	0	1038.11	357.52	0	0	0	0	0	2486.29	0	0	911.365	2622.32	0	3074.39	2363.99	0	856.346	239.942	0	0	1046.84	0	950.615	415.181	0	0	893.878	146.289	1832.39	1658.79	0	0	0	0	0	110.272	0	0	0	0	0
